id,username,created_at,lng,lat,text
1517419594603847680,shasha_vns,Fri Apr 22 08:26:38 +0000 2022,82.93295549999999,25.3733755,Not at all suprising https://t.co/2o0D8feipr
1517419596638134272,krishankantcho1,Fri Apr 22 08:26:38 +0000 2022,72.973946,28.300807,Earlier this verieties of paddy were grown in most of the parts of India but today all hybrid verieties spreads all… https://t.co/HSSUXoc3tH
1517419601855885317,chey__says,Fri Apr 22 08:26:40 +0000 2022,80.764796,15.893908,"@bookingcom Thank you, appreciate your action."
1517419609418350593,NidaKirmani,Fri Apr 22 08:26:41 +0000 2022,72.35549850000001,30.864107500000003,"When a fauji criticises the army, they disappear briefly, influential people raise a hue &amp; cry while they are given… https://t.co/0Dxzo1ZSxW"
1517419618197204992,pree_mish,Fri Apr 22 08:26:43 +0000 2022,86.244069,23.5854515,@happyeasygo thank you to listen to my request. I got my refund finally after 1 month. Thank you again. 🙂
1517419621816569856,ROHITSI20125242,Fri Apr 22 08:26:44 +0000 2022,77.4233395,28.773568,@prachiIPS Wishing you happy b'day ma'am💐🎂🎉🎈🥳
1517419626489024512,amit151249civil,Fri Apr 22 08:26:45 +0000 2022,86.480556,22.6140115,@TataSteelLtd Dear sir 🙏 @RNTata2000I could not find job requirements in Tata Careers Job Opportunity.  Can you ge… https://t.co/Rj0zl6w7rI
1517419630322614273,HarbirSinghSuri,Fri Apr 22 08:26:46 +0000 2022,77.3508815,28.3312135,@pronami007 @Billion478 @Manu26127154 @ruchityagi2108 @Jameelsayyed @JohnMas10368020 @chandanamukher1 @bahl_204… https://t.co/7Irdz2Xfvk
1517419629505040385,PrashantSamajik,Fri Apr 22 08:26:46 +0000 2022,85.81129849999999,25.904118500000003,@vedikasanchi Some more🌸 https://t.co/pABVoxbjmi
1517419648240668672,rons1212,Fri Apr 22 08:26:51 +0000 2022,73.910077,18.5081615,@schradenfraude @DeeptaNagpal The dum aloo version with raw bananas are also very good. I don’t use onion and garlic in my koftas.
1517419652988690433,worlditzone,Fri Apr 22 08:26:52 +0000 2022,77.219672,28.631747,"Just posted a photo @ Delhi, India https://t.co/72NesLdwt7"
1517419653601013761,Sankard62422734,Fri Apr 22 08:26:52 +0000 2022,87.921509,22.2019065,@WBPolice My affair here but all run previous to next here any run and running other .
1517419654746042368,SonamDa62159977,Fri Apr 22 08:26:52 +0000 2022,85.81129849999999,25.904118500000003,#FactsAboutChristianityKnow who is real savior  &amp; immortal God in holy Bible. For detail Read precious book (ge… https://t.co/NKikUBRdrP
1517419661066862593,Army34168900,Fri Apr 22 08:26:54 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamyHeater babura naw see BD armys power
1517419667966787584,SSHANDA1,Fri Apr 22 08:26:55 +0000 2022,77.095086,28.6384895,@Nitikasharmabjp Amazing conviction.
1517419669006995456,GurdayalPuri,Fri Apr 22 08:26:56 +0000 2022,77.339529,30.2514435,@dalbirsinghshri Thank you so much🙂
1517419692427784192,BhattiNawaz,Fri Apr 22 08:27:01 +0000 2022,72.35549850000001,30.864107500000003,Imran Khan is an essence for Pakistan......Let's say it loud and clear......#امپورٹڈ_حکومت_نامنظور
1517419702024237056,RoyalSi82277603,Fri Apr 22 08:27:03 +0000 2022,77.498726,28.545556,@pritidevisp 48 ghante
1517419703073120262,manishR53625308,Fri Apr 22 08:27:04 +0000 2022,73.87756049999999,26.6284155,@Chandan37375327 @ChennaiIPL @IrfanPathan @msdhoni I love mahi 😍😍😍. And I love anyone would like mahi example 😜😜 you
1517419706126323712,Inamull77247727,Fri Apr 22 08:27:04 +0000 2022,72.35549850000001,30.864107500000003,Yes agreedThe same passion was in past The people are ready to change time now
1517419713067819008,HirakJy07110317,Fri Apr 22 08:27:06 +0000 2022,92.86038450000001,26.0523505,@rajputlokendra_ @RVCJ_FB In IPL
1517419717090181121,praticram,Fri Apr 22 08:27:07 +0000 2022,77.14859639,28.53375897,....Twitter is the best Medication for the side effects of life.
1517419731497590785,Army34168900,Fri Apr 22 08:27:10 +0000 2022,90.328709,24.098380499999998,#bangladeshibtsamyArmy ra caila sob possible
1517419740331130880,MdParwe92847838,Fri Apr 22 08:27:13 +0000 2022,85.81129849999999,25.904118500000003,Hello World! https://t.co/GpDpYOiaf8
1517419751353450496,film_veer,Fri Apr 22 08:27:15 +0000 2022,88.352242,22.6127055,"@priyanka_shama9 Good afternoon madam,how are you? Will you be my friend forever as ever"
